Possession_Status,new_or_resale,furnishing,bathrooms,price,location,date_of_posting,facing,overlooking,area,BHK,config,flat_floor_no.,total_floors,no_of_parking,parking_type,longitude,latitude
received,Resale,Unfurnished,2.0,2.1,kanakia zen,"Jan 12, '21",None,other,650.0,2,apartment,20,22,0,Open,,
received,Resale,Unfurnished,1.0,1.5,sanghmitra society,"Jan 16, '21",None,main road,1838.0,1,apartment,1,7,0,Open,,
received,Resale,Furnished,2.0,0.85,Sankalp sahniwas,"Jan 16, '21",North,main road,720.0,1,apartment,4,6,0,Open,,
received,Resale,Semi-Furnished,2.0,1.85,Crompton Greaves,"Jan 19, '21",None,main road,495.0,2,apartment,16,21,0,Open,,
received,Resale,Furnished,2.0,1.15,Ashok Vihar CHS ltd,"Jan 18, '21",None,main road,1040.0,1,apartment,6,7,0,Open,,
received,Resale,Furnished,1.0,0.97,Madhu Kunj Dahisar West,"Jan 17, '21",None,main road,715.0,1,apartment,8,8,1,Covered,,
received,Resale,Furnished,4.0,4.96,Shree Siddhivinayak Mandir Chowk,"Jan 29, '21",East,other,999.0,3,apartment,7,20,1,Covered,,
not received,Resale,Semi-Furnished,2.0,3.8,akansha dadar east,"Jan 20, '21",East,main road,781.0,2,apartment,20,34,0,Open,,
received,Resale,Furnished,2.0,2.5,shraddha kunj co-operative housing society,"Nov 20, '20",South -West,main road,1581.0,2,apartment,5,7,0,Open,,
received,Resale,Furnished,3.0,1.2,beeramguda mumbai,"Oct 06, '20",None,main road,938.0,3,apartment,2,2,0,Open,,
received,Resale,Furnished,2.0,3.25,queens view Juhu Tara Road,"Jan 24, '21",None,main road,553.0,2,apartment,6,6,0,Open,,
received,Resale,Semi-Furnished,2.0,1.7,Gopal Bhavan,"Jan 06, '21",West,main road,604.0,1,apartment,1,3,1,Open,,
received,Resale,Semi-Furnished,4.0,1.6,Navi Mumbai-Khargar-Panvel,"Jan 17, '21",North - East,main road,319.0,3,Penthouse,8,9,0,Open,,
received,Resale,Unfurnished,2.0,0.38,Ambernath,"Jan 06, '21",North - East,main road,1400.0,1,apartment,2,3,1,Open,,
received,Resale,Unfurnished,2.0,2.0,Koteshwar Darshan,"Jan 19, '21",None,other,697.0,1,apartment,1,1,0,Open,,
received,Resale,Furnished,2.0,3.75,Kalpataru Harmony,"Jan 03, '21",East,other,1092.0,2,apartment,8,10,0,Open,,
received,Resale,Semi-Furnished,2.0,1.0,Deen Dayal Nagar,"Jan 28, '21",East,main road,725.0,1,apartment,2,4,2,Open,,
received,Resale,Furnished,2.0,1.0,sakivihar complex,"Jan 31, '21",East,other,440.0,1,apartment,2,7,1,Open,,
received,Resale,Furnished,2.0,1.5,Gorai Matru Ashish,"Jan 16, '21",South - East,main road,931.0,2,apartment,4,9,1,Open,,
received,Resale,Semi-Furnished,1.0,1.6,sai krupa hsg soc,"Jan 20, '21",South - East,main road,760.0,1,apartment,1,3,1,Open,,
received,Resale,Semi-Furnished,1.0,1.85,Giri Residency,"Jan 11, '21",East,other,850.0,1,apartment,5,7,1,Open,,
received,Resale,Furnished,1.0,0.8,Rajendra Kutir,"Jan 09, '21",South -West,main road,675.0,1,apartment,2,8,1,Covered,,
received,Resale,Semi-Furnished,2.0,1.6,Gondavali Gaothan,"Jan 31, '21",East,other,540.0,1,apartment,5,6,3,Open,,
received,Resale,Furnished,4.0,3.6,Chiku Wadi,"Jan 31, '21",East,main road,323.0,4,apartment,1,7,1,both,,
received,Resale,Semi-Furnished,2.0,0.89,Tilak Nagar - Harbour Line,"Jan 31, '21",North,main road,720.0,1,apartment,1,7,1,Open,,
received,Resale,Unfurnished,2.0,2.15,Sunteck City,"Jan 26, '21",None,main road,435.0,2,apartment,14,40,0,Open,,
not received,Resale,Unfurnished,2.0,0.92,Marvel Gold Petra,"Jan 09, '21",None,main road,444.0,1,apartment,18,22,0,Open,,
received,Resale,Unfurnished,1.0,0.32,Sai Sansar Heights,"Jan 31, '21",East,other,873.0,1,apartment,2,7,0,Open,,
received,Resale,Unfurnished,2.0,2.6,santacruz mansion,"Jan 16, '21",North,main road,557.0,2,apartment,2,2,0,Open,,
received,Resale,Furnished,2.0,0.27,new green chs bolinj sopara road,"Jan 15, '21",East,main road,640.0,1,apartment,3,3,0,Open,,
received,Resale,Unfurnished,1.0,1.05,Rani Laxmibai Chowk,"Jan 17, '21",East,main road,225.0,1,apartment,1,3,1,Open,,
received,Resale,Semi-Furnished,3.0,2.75,Kokani Pada,"Jan 29, '21",East,other,713.0,3,apartment,16,55,1,Covered,,
not received,Resale,Semi-Furnished,2.0,1.12,Crompton Greaves,"Jan 04, '21",None,main road,475.0,1,apartment,17,22,1,Covered,,
